OBJECTID,FACILITYID,FULLADDR,AREA,LASTUPDATE,X,Y,OPERDAYS,OPERHOURS,FACILITYTYPE,Description,NUMPARKING,RESTROOM,ADACOMPLY,CAMPING,SWIMMING,HIKING,FISHING,PICNIC,BOATING,HUNTING,ROADCYCLE,MTBCYCLE,PLAYGROUND,GOLF,SKI,SOCCER,BASEBALL,SOFTBALL,BASKETBALL,TENNIS,SKATEBOARD,INFORMATION,PETS,URL,URL2
1,Armory Learning Arts Center,1018 Madison Ave,2.24812956,2025/07/17 00:00:00+00,-86.29440802,32.37944736,Mon-Fri,8:00AM-5:00PM,Community Center,"The Armory is an Art Deco-style, 34,406 square foot, one-time U.S. National Guard Armory! Renovated to provide comprehensive art, music, dance and gymnastic instruction, today’s Armory houses Armory Athletics, the Alabama Dance Theatre and The Learning Arts Center (the City of Montgomery’s community arts center). The Learning Arts Center features a pottery studio and kiln; spaces for art, music, dance, film classes and studio time; an auditorium and stage for special events and performances; and an art gallery where we proudly exhibit local artists and their art.",70,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,https://www.montgomeryal.gov/play/explore-montgomery/armory-learning-arts-center,https://experiencemontgomeryal.org/listing/armory-learning-arts-center/1352/
2,Earl D. James Center (Capitol Heights),206 Federal Dr,9.17844068,2025/07/17 00:00:00+00,-86.27137695,32.38416219,Mon-Fri,8:00AM-5:00PM,Community Center,"Earl James Community Center is a large center, with a gym, meeting rooms, playing fields and a ceramics studio. The center is adjacent to a middle school, and serves as a physical education classroom site during the school year. Ceramics classes are offered year round, and open gym time is available for adults in the evenings and on Sunday",30,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,1,1,Y,N,N,Y,N,https://www.funinmontgomery.com/Home/Components/FacilityDirectory/FacilityDirectory/283/3085,
3,Chisholm Community Center,329 E Vandiver Blvd,28.20692249,2025/07/17 00:00:00+00,-86.27330726,32.41932342,Sun-Sat,Daylight,Community Center,"Featuring a gym, large meeting room, game room, and an arts and crafts area, Chisholm Community Center is a large center, located adjacent to the Montgomery Zoo. The complex features a large playing field, playground, large parking area and a baseball/softball complex. After school programs are offered for children, in addition to a full day program during the summer. Open gym time is available for adults in the evening hours and on Saturday, and the center is available for community meetings and rentals.",0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,https://www.funinmontgomery.com/Home/Components/FacilityDirectory/FacilityDirectory/299/3085,https://experiencemontgomeryal.org/listing/chisholm-community-center/1262/
4,Floyd Community Center,3450 Lebron Rd,0.75672686,2025/07/17 00:00:00+00,-86.29555005,32.34031475,Mon-Fri,8:00AM-5:00PM,Community Center,"Floyd Community Center is a large center, with a gym, small meeting room, field house, computer lab, playing fields and a ceramics studio. The center is adjacent to both a middle magnet, and an elementary school, and serves as a physical education classroom site during the school year. An after-school program and full day summer program are offered for children, as well as open gym time and ceramics classes for adults. Floyd is located in the Normandale area of the city, and the center is available for community meetings and rentals.",60,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,https://www.funinmontgomery.com/Home/Components/FacilityDirectory/FacilityDirectory/279/3085,
5,Highland Gardens Community Center,2805 Willena Ave,5.34762405,2025/07/17 00:00:00+00,-86.28080241,32.39904434,Sun-Sat,Daylight,Community Center,"Highland Gardens Community Center is a small center that serves both the neighborhood and the elementary school next door. The center has two meeting rooms, a kitchen and office space. A large outdoor play area, blacktop for basketball, playground, picnic tables and softball fields complete the outdoor portion of the complex.",0,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,1,1,Y,N,N,Y,N,https://www.funinmontgomery.com/Home/Components/FacilityDirectory/FacilityDirectory/258/3085,
6,Houston Hill Community Center,207 Hall St,10.97497262,2025/07/17 00:00:00+00,-86.29060886,32.37686458,Mon-Fri,8:00AM-5:00PM,Community Center,"The Houston Hill center features an air conditioned gym, large meeting room, computer lab, locker rooms and ceramic studio. Also on the property is a swimming pool, playing field, and a blacktop for basketball. Programs designed for Senior Adults are offered weekly in non-summer months, and a full day summer program is offered for children.",0,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,1,1,1,Y,N,N,Y,N,https://www.funinmontgomery.com/Home/Components/FacilityDirectory/FacilityDirectory/256/3085,
7,Hunter Station Community Center,20 Melton St,3.87568228,2025/07/17 00:00:00+00,-86.39189354,32.39119508,Mon-Sat,9:00AM-8:00PM,Community Center,"Located in northwest Montgomery, the Hunter Station Community Center offers a large meeting space and one additional smaller space, a small kitchen as well as office space. Outdoor features include a paved walking trail, playground, open play space, and a blacktop for basketball. In addition, the center has a picnic pavilion and tables. A program for senior adults is offered several days a week, and an after school and full day summer program are offered for children.",18,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,https://www.funinmontgomery.com/Home/Components/FacilityDirectory/FacilityDirectory/255/3085,
8,Tracy Larkin Community Center,814 E Claremont St,15.15821864,2025/07/17 00:00:00+00,-86.27767809,32.39036074,Sun-Sat,Daylight,Community Center,"The north central part of the city is home to the Tracy Larkin (formerly King Hill) Community Center. The center offers a large meeting space and one additional smaller space, a small kitchen, a computer room, as well as office space. Outdoor features include a paved walking trail, playground, vita course, a ballfield, and a blacktop for basketball. In addition the center has two picnic pavilions with tables.",0,Y,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,1,1,1,Y,N,N,Y,N,https://www.funinmontgomery.com/Home/Components/FacilityDirectory/FacilityDirectory/250/3085,
9,Loveless Community Center,911 W Jeff Davis Ave,0.90038378,2025/07/17 00:00:00+00,-86.32325426,32.36559996,Mon-Fri,9:00AM-6:00PM,Community Center,"Programs at Loveless Community Center are geared for Senior Adults. A large meeting room, secondary meeting space, kitchen, sewing room, gym, and office space are featured in the facility. Table games, sewing classes, bowling outings, and trip adventures are samples of programs offered at the center. Open gym time for adults is available in the evenings and on weekends, and the gym supports the physical education classes and athletic program for the adjacent magnet school.",0,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,https://www.funinmontgomery.com/Home/Components/FacilityDirectory/FacilityDirectory/240/3085,
10,McIntyre Community Center,1240 Hugh St,19.41937771,2025/07/17 00:00:00+00,-86.33375739,32.36054504,Sun-Sat,Daylight,Community Center,"McIntyre Community Center is a large facility with a gym, 2 large meeting rooms, a game room, kitchen, multiple playing fields, open play space, playground and a swimming pool. After school and full day summer programs are offered for children, and open gym time is available for adults in the evenings and on Saturday.",0,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,1,1,1,Y,N,N,N,N,https://www.funinmontgomery.com/Home/Components/FacilityDirectory/FacilityDirectory/237/3085,
