OBJECTID,Date,Date_X,Date_Y,Type,Current_Year,Previous_Year
1461,01/01,,,Inbound Commuters,9299,9169
1462,01/01,,,Out-of-Market Visitors,59128,57340
1463,01/01,,,Residents,143266,142939
1464,01/01,,,Total,211693,209448
1465,01/02,,,Inbound Commuters,24845,27102
1466,01/02,,,Out-of-Market Visitors,79041,81664
1467,01/02,,,Residents,145927,144985
1468,01/02,,,Total,249813,253751
1469,01/03,,,Inbound Commuters,23821,27872
1470,01/03,,,Out-of-Market Visitors,86238,65705
1471,01/03,,,Residents,146615,144912
1472,01/03,,,Total,256674,238489
1473,01/04,,,Inbound Commuters,12950,28506
1474,01/04,,,Out-of-Market Visitors,94333,77439
1475,01/04,,,Residents,146626,146188
1476,01/04,,,Total,253909,252133
1477,01/05,,,Inbound Commuters,11262,28264
1478,01/05,,,Out-of-Market Visitors,65060,83829
1479,01/05,,,Residents,149451,145442
1480,01/05,,,Total,225773,257535
1481,01/06,,,Inbound Commuters,27759,15444
1482,01/06,,,Out-of-Market Visitors,64973,82091
1483,01/06,,,Residents,150895,144987
1484,01/06,,,Total,243627,242522
1485,01/07,,,Inbound Commuters,28717,13443
1486,01/07,,,Out-of-Market Visitors,62182,72932
1487,01/07,,,Residents,151281,146507
1488,01/07,,,Total,242180,232882
1489,01/08,,,Inbound Commuters,28622,29059
1490,01/08,,,Out-of-Market Visitors,65262,67069
1491,01/08,,,Residents,152342,146476
1492,01/08,,,Total,246226,242604
1493,01/09,,,Inbound Commuters,28040,28571
1494,01/09,,,Out-of-Market Visitors,70058,61003
1495,01/09,,,Residents,152102,146486
1496,01/09,,,Total,250200,236060
1497,01/10,,,Inbound Commuters,20714,29957
1498,01/10,,,Out-of-Market Visitors,53047,72852
1499,01/10,,,Residents,150311,145882
1500,01/10,,,Total,224072,248691
1501,01/11,,,Inbound Commuters,15389,30529
1502,01/11,,,Out-of-Market Visitors,74540,80254
1503,01/11,,,Residents,148622,147218
1504,01/11,,,Total,238551,258001
1505,01/12,,,Inbound Commuters,13586,26984
1506,01/12,,,Out-of-Market Visitors,65480,75602
1507,01/12,,,Residents,151256,146767
1508,01/12,,,Total,230322,249353
1509,01/13,,,Inbound Commuters,29176,14245
1510,01/13,,,Out-of-Market Visitors,70992,79351
1511,01/13,,,Residents,151720,143607
1512,01/13,,,Total,251888,237203
1513,01/14,,,Inbound Commuters,29056,11607
1514,01/14,,,Out-of-Market Visitors,70736,70254
1515,01/14,,,Residents,151069,144757
1516,01/14,,,Total,250861,226618
1517,01/15,,,Inbound Commuters,29418,19876
