Service_Request_Type,Month,Count_,Request_Category,ObjectId
Basketball Goal on City ROW,01 - OCT,2,Other,1
Install a New Street Light,06 - MAR,4,Street Lights,2
Install New Sign,04 - JAN,3,Street Signs,3
Bush or Objects Blocking Sight View,01 - OCT,1,Other,4
Neighborhood Watch Sign,04 - JAN,0,Street Signs,5
Street Light Out,06 - MAR,23,Street Lights,6
Dumpster Permit,01 - OCT,0,Other,7
Repair Existing Sign,04 - JAN,8,Street Signs,8
Leaning Light Pole,06 - MAR,3,Street Lights,9
Handicap Parking,01 - OCT,0,Other,10
Replace Missing Sign,04 - JAN,2,Street Signs,11
Refresh an Existing Marking,06 - MAR,3,Roadway Marking,12
Change Speed Limit,01 - OCT,0,Traffic Calming,13
School Zone Sign,04 - JAN,0,Street Signs,14
Add a New Marking,06 - MAR,1,Roadway Marking,15
Dark Area Near Existing Street Light,01 - OCT,0,Street Lights,16
Traffic Calming Request,02 - NOV,5,Traffic Calming,17
Sign Relocation,04 - JAN,0,Street Signs,18
Remove a Marking,06 - MAR,0,Roadway Marking,19
Install a New Street Light,01 - OCT,7,Street Lights,20
Add a Left Turn Indication at a Signal,02 - NOV,0,Traffic Signals,21
Stop Sign Missing/Damaged,04 - JAN,4,Street Signs,22
Change Sign Type,06 - MAR,0,Street Signs,23
Street Light Out,01 - OCT,30,Street Lights,24
Check a Dark Signalized Intersection,02 - NOV,3,Traffic Signals,25
Yield Sign Missing/Damaged,04 - JAN,0,Street Signs,26
Install Multi-way Stop,06 - MAR,0,Street Signs,27
Leaning Light Pole,01 - OCT,0,Street Lights,28
Check the Timing of an Approach,02 - NOV,5,Traffic Signals,29
Traffic Calming Request,04 - JAN,5,Traffic Calming,30
Install New Sign,06 - MAR,9,Street Signs,31
Refresh an Existing Marking,01 - OCT,4,Roadway Marking,32
Install a New Signalized Intersection,02 - NOV,0,Traffic Signals,33
Add a Left Turn Indication at a Signal,04 - JAN,1,Traffic Signals,34
Neighborhood Watch Sign,06 - MAR,0,Street Signs,35
Add a New Marking,01 - OCT,2,Roadway Marking,36
Investigate a Signalized Intersection in Flash,02 - NOV,5,Traffic Signals,37
Check a Dark Signalized Intersection,04 - JAN,3,Traffic Signals,38
Repair Existing Sign,06 - MAR,24,Street Signs,39
Remove a Marking,01 - OCT,1,Roadway Marking,40
Replace a Signal Indication that is Not Working,02 - NOV,3,Traffic Signals,41
Check the Timing of an Approach,04 - JAN,11,Traffic Signals,42
Change Sign Type,01 - OCT,1,Street Signs,43
Traffic Signal Needing Physical Repair,02 - NOV,1,Traffic Signals,44
Replace Missing Sign,06 - MAR,8,Street Signs,45
Install a New Signalized Intersection,04 - JAN,0,Traffic Signals,46
Install Multi-way Stop,01 - OCT,0,Street Signs,47
Basketball Goal on City ROW,03 - DEC,0,Other,48
School Zone Sign,06 - MAR,0,Street Signs,49
Investigate a Signalized Intersection in Flash,04 - JAN,6,Traffic Signals,50
Install New Sign,01 - OCT,6,Street Signs,51
Bush or Objects Blocking Sight View,03 - DEC,1,Other,52
Sign Relocation,06 - MAR,1,Street Signs,53
Replace a Signal Indication that is Not Working,04 - JAN,2,Traffic Signals,54
Neighborhood Watch Sign,01 - OCT,0,Street Signs,55
Dumpster Permit,03 - DEC,0,Other,56
Stop Sign Missing/Damaged,06 - MAR,7,Street Signs,57
Traffic Signal Needing Physical Repair,04 - JAN,2,Traffic Signals,58
Handicap Parking,03 - DEC,0,Other,59
Repair Existing Sign,01 - OCT,11,Street Signs,60
Yield Sign Missing/Damaged,06 - MAR,0,Street Signs,61
Basketball Goal on City ROW,05 - FEB,1,Other,62
Change Speed Limit,03 - DEC,0,Traffic Calming,63
Traffic Calming Request,06 - MAR,15,Traffic Calming,64
Replace Missing Sign,01 - OCT,3,Street Signs,65
Bush or Objects Blocking Sight View,05 - FEB,1,Other,66
Dark Area Near Existing Street Light,03 - DEC,0,Street Lights,67
Install a New Street Light,03 - DEC,0,Street Lights,68
Street Light Out,03 - DEC,16,Street Lights,69
Leaning Light Pole,03 - DEC,2,Street Lights,70
Refresh an Existing Marking,03 - DEC,2,Roadway Marking,71
Add a New Marking,03 - DEC,0,Roadway Marking,72
Remove a Marking,03 - DEC,0,Roadway Marking,73
Change Sign Type,03 - DEC,0,Street Signs,74
Install Multi-way Stop,03 - DEC,0,Street Signs,75
Install New Sign,03 - DEC,6,Street Signs,76
Neighborhood Watch Sign,03 - DEC,0,Street Signs,77
Repair Existing Sign,03 - DEC,2,Street Signs,78
Replace Missing Sign,03 - DEC,1,Street Signs,79
School Zone Sign,03 - DEC,0,Street Signs,80
Sign Relocation,03 - DEC,0,Street Signs,81
Stop Sign Missing/Damaged,03 - DEC,6,Street Signs,82
Yield Sign Missing/Damaged,03 - DEC,0,Street Signs,83
Traffic Calming Request,03 - DEC,0,Traffic Calming,84
Add a Left Turn Indication at a Signal,03 - DEC,0,Traffic Signals,85
Check a Dark Signalized Intersection,03 - DEC,5,Traffic Signals,86
Check the Timing of an Approach,03 - DEC,13,Traffic Signals,87
Install a New Signalized Intersection,03 - DEC,0,Traffic Signals,88
Investigate a Signalized Intersection in Flash,03 - DEC,13,Traffic Signals,89
Replace a Signal Indication that is Not Working,03 - DEC,3,Traffic Signals,90
Traffic Signal Needing Physical Repair,03 - DEC,1,Traffic Signals,91
Basketball Goal on City ROW,04 - JAN,1,Other,92
Bush or Objects Blocking Sight View,04 - JAN,2,Other,93
Dumpster Permit,04 - JAN,0,Other,94
Handicap Parking,04 - JAN,0,Other,95
Change Speed Limit,04 - JAN,0,Traffic Calming,96
Dark Area Near Existing Street Light,04 - JAN,0,Street Lights,97
Install a New Street Light,04 - JAN,1,Street Lights,98
Street Light Out,04 - JAN,14,Street Lights,99
Leaning Light Pole,04 - JAN,0,Street Lights,100
Refresh an Existing Marking,04 - JAN,6,Roadway Marking,101
Add a New Marking,04 - JAN,0,Roadway Marking,102
